Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market Cap
2013/9/28,1.3377,1.3563,1.3256,1.3478,0,1585878762
2013/9/29,1.349,1.4061,1.3471,1.3734,0,1616584505
2013/9/30,1.3715,1.3835,1.3027,1.33,0,1566038425
2013/10/1,1.3268,1.3463,1.3155,1.3218,0,1557001092
2013/10/2,1.3205,1.3359,1.0225,1.1413,0,1344930746
2013/10/3,1.1445,1.2363,1.1182,1.2363,0,1457492615
2013/10/4,1.2341,1.3009,1.2341,1.2901,0,1521498787
2013/10/5,1.2863,1.3044,1.2803,1.2855,0,1516777519
2013/10/6,1.2836,1.2966,1.2615,1.29,0,1522686975
2013/10/7,1.2943,1.3027,1.2636,1.2694,0,1498859918
2013/10/8,1.2674,1.2747,1.2471,1.26,0,1488277350
2013/10/9,1.2585,1.3175,1.2558,1.3069,0,1544249376
2013/10/10,1.3067,1.315,1.2926,1.3059,0,1543701125
2013/10/11,1.3075,1.3181,1.2964,1.309,0,1547971040
2013/10/12,1.309,1.3566,1.3056,1.3519,0,1599426131
2013/10/13,1.3519,1.3866,1.3455,1.3813,0,1634968839
2013/10/14,1.3927,1.4412,1.389,1.4052,0,1664129178
2013/10/15,1.4077,1.4539,1.3913,1.4524,0,1720981439
2013/10/16,1.4565,1.5223,1.4243,1.4255,0,1689851848
2013/10/17,1.4241,1.4742,1.4241,1.4625,0,1734327563
2013/10/18,1.4637,1.5596,1.4557,1.5596,0,1850219763
2013/10/19,1.5591,1.7748,1.557,1.7242,0,2046457291
2013/10/20,1.7166,1.7491,1.6895,1.7461,0,2073319140
2013/10/21,1.748,1.8482,1.748,1.8221,0,2164518143
2013/10/22,1.8265,1.9627,1.8265,1.9376,0,2302910260
2013/10/23,1.9336,2.1362,1.9238,2.1362,0,2540139399
2013/10/24,2.143,2.1742,1.6852,1.9823,0,2358198593
2013/10/25,1.9769,1.9887,1.685,1.8669,0,2222012384
2013/10/26,1.8745,1.8841,1.7575,1.7732,0,2111296044
2013/10/27,1.766,1.9644,1.766,1.9644,0,2339831217
2013/10/28,1.9621,1.9862,1.9206,1.9855,0,2365837416
2013/10/29,1.9855,2.0479,1.9855,2.0439,0,2436241934
2013/10/30,2.0439,2.0916,1.9997,1.9997,0,2384492273
2013/10/31,1.9983,2.0518,1.9885,2.04,0,2433658800
2013/11/1,2.039,2.0665,2.0213,2.0618,0,2460742837
2013/11/2,2.0581,2.0776,2.0165,2.0622,0,2462261645
2013/11/3,2.0599,2.1505,2.0399,2.1505,0,2568713111
2013/11/4,2.1466,2.3101,2.1394,2.291,0,2737659088
2013/11/5,2.2921,2.5066,2.2622,2.4524,0,2931598960
2013/11/6,2.4478,2.63,2.4478,2.625,0,3138994688
2013/11/7,2.6168,3.0417,2.6155,2.9641,0,3545560087
2013/11/8,2.9785,3.3866,2.9693,3.3811,0,4045494603
2013/11/9,3.3858,3.7082,3.1971,3.3911,0,4058705857
2013/11/10,3.4882,3.507,2.7724,3.2662,0,3910613095
2013/11/11,3.2541,3.5127,3.1178,3.4244,0,4101635027
2013/11/12,3.4306,3.6281,3.428,3.6033,0,4317726291
2013/11/13,3.6097,4.1405,3.598,4.0737,0,4883103453
2013/11/14,4.0641,4.259,3.9519,4.202,0,5038817795
2013/11/15,4.1941,4.3789,3.9611,4.1795,0,5013561020
2013/11/16,4.1728,4.5026,4.1557,4.4022,0,5282849105
2013/11/17,4.4096,5.0058,4.4024,4.9211,0,5907842064
2013/11/18,4.9658,7.0378,4.9494,7.0356,0,8449069629
2013/11/19,7.1276,8.0611,4.5639,5.8461,0,7022949161
2013/11/20,5.7798,5.9965,4.4845,5.9083,0,7100077964
2013/11/21,5.9432,7.334,5.7729,7.2243,0,8684240726
2013/11/22,7.2407,7.8085,6.6813,7.7144,0,9276681716
2013/11/23,7.717,8.4497,7.717,7.9782,0,9597335799
2013/11/24,7.9563,8.0736,7.2287,7.7425,0,9317034156
2013/11/25,7.7302,8.1068,7.5443,7.9911,0,9619646225
2013/11/26,8.0573,9.2854,8.008,9.281,0,11176110593
2013/11/27,9.2385,10.0196,8.9168,10.0196,0,12069885699
2013/11/28,10.0338,10.7756,9.6217,10.3195,0,12435823060
2013/11/29,10.4201,11.4697,10.0064,11.3197,0,13646039846
2013/11/30,11.2937,11.5614,11.0661,11.2943,0,13620389321
2013/12/1,11.2892,11.3308,8.0182,9.5585,0,11531708948
2013/12/2,9.5142,10.5542,9.3841,10.4333,0,12591271606
2013/12/3,10.464,10.96,10.1121,10.7828,0,13018451838
2013/12/4,10.7758,11.5612,10.7016,11.5117,0,13903428351
2013/12/5,11.5273,11.5436,8.9711,10.4511,0,12626914509
2013/12/6,10.4238,10.4238,8.2945,8.2945,0,10025645095
2013/12/7,8.3532,8.5464,6.4022,6.9823,0,8442962249
2013/12/8,6.9731,8.0251,6.7088,7.9587,0,9627500113
2013/12/9,7.938,9.2193,7.809,8.9319,0,10808715488
2013/12/10,8.9232,9.9723,8.9232,9.8851,0,11966951486
2013/12/11,9.8907,10.0158,8.3423,8.7848,0,10638546534
2013/12/12,8.8278,9.0194,8.4495,8.7326,0,10578889955
2013/12/13,8.7498,9.4179,8.6005,8.9258,0,10816819988
2013/12/14,8.9985,9.0465,8.5836,8.726,0,10578987915
2013/12/15,8.7529,8.8616,8.25,8.7612,0,10625517651
2013/12/16,8.8033,8.8225,6.6825,7.0597,0,8565534010
2013/12/17,7.0637,7.5483,6.3088,6.8212,0,8279623719
2013/12/18,6.782,6.7932,4.2051,5.227,0,6347159168
2013/12/19,5.1906,7.0723,5.0289,6.9196,0,8406397153
2013/12/20,6.9422,7.2916,5.9533,6.2532,0,7599576492
2013/12/21,6.199,6.5427,5.7917,6.0566,0,7363114611
2013/12/22,6.0178,6.6674,5.8564,6.1718,0,7505757423
2013/12/23,6.1306,6.8091,6.1104,6.7341,0,8192487202
2013/12/24,6.7236,6.8439,6.4571,6.6558,0,8100042042
2013/12/25,6.6631,6.827,6.4948,6.8221,0,8305173374
2013/12/26,6.8394,7.7775,6.8394,7.6198,0,9279735331
2013/12/27,7.6328,7.7751,7.136,7.3507,46862700,8955394564
2013/12/28,7.3798,7.4706,7.0535,7.2783,32505800,8869918644
2013/12/29,7.2805,7.4861,7.1444,7.4505,19011300,9082103621
2013/12/30,7.4135,7.666,7.4024,7.5613,20707700,9217167990
2013/12/31,7.6032,7.6058,7.3817,7.5401,20897300,9191325349
2014/1/1,7.5497,7.7535,7.5497,7.714,22489400,9403308145
2014/1/2,7.7344,8.2031,7.6721,8.0239,38489500,9781073921
2014/1/3,8.0285,8.3415,7.8912,8.1872,37810100,9980135396
2014/1/4,8.2327,8.5951,8.0167,8.5951,38005000,10477362437
2014/1/5,8.5855,9.524,8.5452,9.3353,72898496,11379660685
2014/1/6,9.3605,10.1712,9.0571,9.5329,85565696,11620533603
2014/1/7,9.4649,9.6574,8.02,8.02,81311696,9808299600
2014/1/8,7.9599,8.7068,7.7618,8.4272,74175600,10310363180
2014/1/9,8.4147,8.6436,8.0414,8.4686,59998600,10365397028
2014/1/10,8.4669,8.7119,8.226,8.6848,31876800,10634081648
2014/1/11,8.6732,9.2148,8.6172,9.1395,44754200,11195636164
2014/1/12,9.196,9.2852,8.5117,8.6322,39623500,10578653198
2014/1/13,8.6019,8.6129,8.0605,8.412,45580900,10312375950
2014/1/14,8.4317,8.5569,8.2566,8.3327,20829800,10218535832
2014/1/15,8.3312,8.7281,8.3086,8.609,28107200,10561305975
2014/1/16,8.6029,8.6616,8.3563,8.3563,19149300,10255185612
2014/1/17,8.3449,8.4291,7.9763,8.1464,39031700,10000663202
2014/1/18,8.1607,8.4149,8.1607,8.4,18052700,10315662000
2014/1/19,8.3966,8.7096,8.2553,8.7096,24365700,10699504086
2014/1/20,8.7139,8.8639,8.5387,8.702,27652700,10694453430
2014/1/21,8.6965,8.812,8.5593,8.6391,18997300,10620283205
2014/1/22,8.6721,8.7015,8.3736,8.4559,18453700,10399573174
2014/1/23,8.4546,8.5157,8.1932,8.2204,15607100,10113558120
2014/1/24,8.2243,8.2243,7.8358,7.9707,34912000,9810138293
2014/1/25,7.9624,8.6145,7.9296,8.5361,24303900,10509539619
2014/1/26,8.5368,8.9702,8.4486,8.8528,32224300,10902798632
2014/1/27,8.846,8.93,7.5711,7.7139,49233600,9503544085
2014/1/28,7.7402,8.325,7.6698,8.1251,44875500,10013251364
2014/1/29,8.0996,8.3687,8.0985,8.26,17984400,10182659550
2014/1/30,8.2602,8.305,7.9906,8.1903,29918200,10100339387
2014/1/31,8.1843,8.3187,8.126,8.2992,17107900,10238411820
2014/2/1,8.2861,8.5352,8.2711,8.3258,19668700,10275202812
2014/2/2,8.329,8.4472,8.2067,8.2537,11300900,10190038654
2014/2/3,8.2408,8.2648,8.0722,8.2383,13940100,10174774202
2014/2/4,8.2377,8.4017,8.2094,8.2796,16609700,10229342305
2014/2/5,8.2996,8.3732,8.1191,8.1191,22395100,10034436286
2014/2/6,8.1559,8.1981,7.7059,7.8155,50108700,9662791119
2014/2/7,7.832,7.832,6.5435,7.124,113643000,8810607000
2014/2/8,6.9957,7.2182,6.6187,6.7392,38742600,8337738240
2014/2/9,6.7146,7.1227,6.5525,6.829,39311400,8451228950
2014/2/10,6.8132,7.0371,5.505,6.8103,112758000,8430742782
2014/2/11,6.835,7.1246,6.3666,6.7217,72745200,8323817195
2014/2/12,6.7238,6.729,6.4304,6.5172,25367600,8073458481
2014/2/13,6.5108,6.5799,6.0191,6.0524,38588100,7500376176
2014/2/14,6.0117,6.9172,5.4104,6.6199,102506000,8206805878
2014/2/15,6.609,6.6184,6.3284,6.5092,26709200,8072579656
2014/2/16,6.513,6.651,5.8417,6.1663,40061700,7650358837
2014/2/17,6.1423,6.5695,6.0731,6.2627,31948400,7772386462
2014/2/18,6.2716,6.4576,6.1254,6.266,20015100,7779035355
2014/2/19,6.2597,6.3177,6.187,6.2303,13897800,7737830115
2014/2/20,6.2309,6.2773,5.5614,5.5614,46905000,6909538974
2014/2/21,5.5688,5.8296,5.3047,5.7416,47308100,7135603064
2014/2/22,5.7424,6.1448,5.5858,6.0542,31254000,7526808473
2014/2/23,6.0647,6.3991,5.997,6.0582,31434400,7534325867
2014/2/24,6.0604,6.0761,5.387,5.4632,57893900,6796971990
2014/2/25,5.4024,5.4138,4.2041,5.3871,126314000,6704461434
2014/2/26,5.3704,6.038,5.3258,5.8269,64642700,7254505067
2014/2/27,5.8165,5.9405,5.6662,5.7877,25540800,7208406719
2014/2/28,5.797,5.8414,5.4517,5.4926,28076100,6843353924
2014/3/1,5.4992,5.7338,5.3929,5.6561,18668100,7049084308
2014/3/2,5.6723,5.7048,5.5327,5.5979,7950760,6978524072
2014/3/3,5.6256,7.0291,5.6052,6.6776,96056896,8326933812
2014/3/4,6.6824,6.9622,6.5568,6.6678,55344600,8317230356
2014/3/5,6.6624,6.7428,6.4628,6.6551,22461900,8304000852
2014/3/6,6.6452,6.6977,6.4979,6.6386,16068100,8286267327
2014/3/7,6.6431,6.6534,6.1635,6.2915,34150800,7855629815
2014/3/8,6.2966,6.3514,6.0446,6.1745,18654200,7712151171
2014/3/9,6.1631,6.4395,6.1235,6.3696,15396500,7958687808
2014/3/10,6.3633,6.4476,6.1502,6.2779,20639800,7846433315
2014/3/11,6.2795,6.3842,6.1884,6.3411,11732500,7928102950
2014/3/12,6.3191,6.4803,6.2951,6.321,18621200,7905832725
2014/3/13,6.3362,6.442,6.3085,6.3814,11634900,7983960982
2014/3/14,6.3814,6.3953,6.2721,6.288,11913800,7869180480
2014/3/15,6.2937,6.3914,6.273,6.3612,4342080,7963443153
2014/3/16,6.365,6.3752,6.2811,6.3111,5277290,7903422086
2014/3/17,6.3092,6.3268,6.1685,6.2237,14648200,7796513249
2014/3/18,6.2184,6.2239,6.038,6.1483,24011500,7704183118
2014/3/19,6.139,6.22,6.091,6.0989,14228900,7644702125
2014/3/20,6.0974,6.0974,5.8749,5.8877,20572900,7382675346
2014/3/21,5.8829,6.0459,5.6181,5.7149,38414100,7168656262
2014/3/22,5.7118,5.7255,5.5439,5.6504,17360700,7090150172
2014/3/23,5.6576,5.7024,5.6088,5.6127,9288400,7045871925
2014/3/24,5.6251,5.8656,5.5177,5.8341,22706900,7326517067
2014/3/25,5.8503,5.8544,5.726,5.8392,14020100,7335179952
2014/3/26,5.8348,5.9003,5.7096,5.8083,16401100,7298672082
2014/3/27,5.8026,5.8056,4.7124,4.7124,62225400,5923615602
2014/3/28,4.7714,5.2602,4.7323,4.9567,58828300,6232801684
2014/3/29,5.0171,5.0486,4.8973,4.9117,11147100,6178428029
2014/3/30,4.9237,4.9237,4.4418,4.6027,42958300,5791419543
2014/3/31,4.623,4.8302,4.4336,4.57,28254000,5752294437
2014/4/1,4.57,4.9534,4.57,4.7838,35685800,6023351178
2014/4/2,4.7914,4.9505,4.3127,4.3714,49647600,5506313797
2014/4/3,4.3644,4.4957,4.1489,4.4472,40765500,5604036051
2014/4/4,4.4566,4.5465,4.2909,4.4753,22925500,5641613449
2014/4/5,4.4667,4.6357,4.442,4.6191,13404500,5824866676
2014/4/6,4.634,4.6632,4.5297,4.605,10241400,5808861023
2014/4/7,4.6147,4.6256,4.4512,4.4942,15616600,5670830650
2014/4/8,4.4761,4.5742,4.4611,4.5309,10921600,5718579640
2014/4/9,4.5318,4.5573,4.4193,4.4273,13204400,5589580215
2014/4/10,4.4226,4.4337,3.5873,3.6518,55868300,4611917257
2014/4/11,3.6371,4.2977,3.5127,4.2095,62562800,5318033925
2014/4/12,4.2089,4.3961,4.1579,4.2112,19226500,5321874506
2014/4/13,4.2146,4.274,3.9525,4.1406,22493500,5234667259
2014/4/14,4.1483,4.6975,4.0737,4.5879,50730200,5802302128
2014/4/15,4.5837,5.19,4.5354,5.1559,49561000,6522974948
2014/4/16,5.2218,5.4238,5.0278,5.274,56480100,6674473792
2014/4/17,5.2907,5.3352,4.8487,4.9596,34025500,6278792387
2014/4/18,4.958,4.986,4.7274,4.7964,19042400,6074116360
2014/4/19,4.7958,5.0355,4.7056,5.0157,19588200,6353700029
2014/4/20,5.0175,5.1087,4.9084,4.9817,12103100,6312896984
2014/4/21,4.9774,5.1057,4.932,4.9577,15171400,6284666435
2014/4/22,4.9545,5.0322,4.8758,4.8792,11670900,6187034895
2014/4/23,4.8836,4.9325,4.8582,4.913,9814530,6231920621
2014/4/24,4.9083,5.0046,4.8295,5.0046,13009400,6350012525
2014/4/25,5.0009,5.003,4.4295,4.6145,46856500,5857079867
2014/4/26,4.617,4.6454,4.491,4.586,12214600,5822776642
2014/4/27,4.5724,4.5933,4.3639,4.3639,10949500,5542720307
2014/4/28,4.3072,4.4753,4.2294,4.4029,23876600,5593864954
2014/4/29,4.3998,4.5164,4.3518,4.4721,16401400,5683724524
2014/4/30,4.4689,4.511,4.367,4.4764,15244900,5690810165
2014/5/1,4.4763,4.6061,4.4763,4.5776,12871800,5821425472
2014/5/2,4.5736,4.5793,4.434,4.4938,10394200,5716625927
2014/5/3,4.494,4.494,4.3068,4.3776,9849640,5570422954
2014/5/4,4.3852,4.3977,4.3005,4.364,5621260,5554777406
2014/5/5,4.3478,4.4097,4.2762,4.3348,10004800,5518951942
2014/5/6,4.3336,4.4804,4.2325,4.2896,12507300,5463474513
2014/5/7,4.2934,4.4613,4.2845,4.3882,18332200,5590798951
2014/5/8,4.3868,4.484,4.3814,4.4017,9446580,5609810850
2014/5/9,4.4018,4.5269,4.4014,4.4946,10347900,5730133343
2014/5/10,4.5046,4.5577,4.4847,4.5443,6682600,5795543101
2014/5/11,4.5392,4.5534,4.334,4.3889,12251700,5598956479
2014/5/12,4.383,4.4226,4.3423,4.4146,7383770,5633629021
2014/5/13,4.4153,4.4198,4.3697,4.4067,7682670,5625308533
2014/5/14,4.4059,4.4666,4.405,4.4397,9472960,5669111766
2014/5/15,4.4414,4.498,4.4363,4.4725,7362980,5712906334
2014/5/16,4.4739,4.5066,4.4496,4.4806,6475100,5725217915
2014/5/17,4.4812,4.5198,4.473,4.489,2945790,5737967927
2014/5/18,4.487,4.4977,4.4478,4.4626,2857830,5706165793
2014/5/19,4.4608,4.4755,4.431,4.4618,6242620,5706978471
2014/5/20,4.463,4.9144,4.4601,4.8572,40327500,6214911439
2014/5/21,4.858,4.9437,4.8349,4.9177,14626000,6294422409
2014/5/22,4.9205,5.2536,4.9019,5.2458,33086500,6716604600
2014/5/23,5.2572,5.4196,5.2008,5.2022,34934700,6662964359
2014/5/24,5.2105,5.2517,5.1628,5.2514,11499300,6727963028
2014/5/25,5.2523,5.7648,5.2523,5.7159,47010300,7325371780
2014/5/26,5.7139,5.8839,5.6533,5.8342,29959800,7479335238
2014/5/27,5.8259,5.8952,5.5443,5.7124,38032000,7325147499
2014/5/28,5.7191,5.7862,5.6409,5.7706,19289000,7402205099
2014/5/29,5.7633,5.771,5.616,5.6818,18707800,7290260762
2014/5/30,5.6818,6.1846,5.6816,6.1533,31985400,7897757908
2014/5/31,6.1569,6.2472,6.0447,6.2368,15107100,8007248676
2014/6/1,6.2369,6.7151,6.1991,6.3023,45259100,8094125581
2014/6/2,6.2965,6.655,6.1874,6.6062,45450200,8487587033
2014/6/3,6.6055,6.7411,6.5078,6.676,40653700,8580309812
2014/6/4,6.6677,6.6856,6.2409,6.4161,37731500,8249183077
2014/6/5,6.4107,6.6353,6.4009,6.5926,29621300,8478552324
2014/6/6,6.5928,6.6137,6.523,6.537,18680100,8409353268
2014/6/7,6.5352,6.5694,6.4491,6.5497,15855300,8428206589
